"Record ID","Repeat Instrument","Repeat Instance","Study is Currently Recruiting",Complete?,"Age (years) - Minimum","Gender (check all that are eligible) (choice=Male)","Gender (check all that are eligible) (choice=Female)","Gender (check all that are eligible) (choice=Transgender)","Healthy Volunteer - Eligibility",Complete?,Condition,Severity,"Duration of condition","Inclusion or Exclusion",Complete?,Medication,"Last Taken","Allergy or Hypersensitivity to the Medication","Inclusion or Exclusion",Complete?,"Lab Test","Normal Status",Abnormal,Include,Complete?,"Inclusion or Exclusion",Complete?,Procedure,Status,"Inclusion or Exclusion",Complete?
1,Conditions,12,,,,,,,,,"Mitral Valve Stenosis (C0026269)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,13,,,,,,,,,"Hypertrophic Cardiomyopathy (C0007194)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,14,,,,,,,,,"Atrioventricular Block (C0004245)",Severe,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,15,,,,,,,,,"Cardiovascular Diseases (C0007222)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,16,,,,,,,,,"Hepatic impairment (C0948807)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,17,,,,,,,,,"Renal Insufficiency (C1565489)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,18,,,,,,,,,"Pancreatitis (C0030305)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,19,,,,,,,,,"Angioedemas, Hereditary (C0019243)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,20,,,,,,,,,"secondary hypertension (C0155616)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,21,,,,,,,,,"postmenopausal (C0232970)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,22,,,,,,,,,"Hematological Disease (C0018939)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,23,,,,,,,,,"Immune System Diseases (C0021053)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,24,,,,,,,,,"Lymphocyte count decreased (C0853986)",,,,Incomplete,,,,,,,,,,,,,,,,
1,Medications,1,,,,,,,,,,,,,,"Antidiabetics (C0935929)","Last 1 Year",,Exclusion,Complete,,,,,,,,,,,
1,Medications,2,,,,,,,,,,,,,,"Antihypertensive Agents (C0003364)","Last 6 Months",,Inclusion,Incomplete,,,,,,,,,,,
1,Medications,3,,,,,,,,,,,,,,"Cisapride (C0072916)",,,Exclusion,Complete,,,,,,,,,,,
1,Medications,4,,,,,,,,,,,,,,"Pimozide (C0031935)",,,Exclusion,Complete,,,,,,,,,,,
1,Medications,5,,,,,,,,,,,,,,"Anticoagulants (C0003280)",,,Exclusion,Complete,,,,,,,,,,,
1,Medications,6,,,,,,,,,,,,,,"Glucocorticoids, Systemic (C3540777)","Last 6 Months",,Exclusion,Complete,,,,,,,,,,,
1,Medications,7,,,,,,,,,,,,,,"Lithium antipsychotics (C3540800)",,,Exclusion,Complete,,,,,,,,,,,
1,Medications,8,,,,,,,,,,,,,,"Investigational New Drugs (C0013230)",,,Exclusion,Complete,,,,,,,,,,,
1,Medications,9,,,,,,,,,,,,,,"Adrenergic beta-Antagonists (C0001645)","Last Week",,Exclusion,Complete,,,,,,,,,,,
1,"Lab Measures",1,,,,,,,,,,,,,,,,,,,"Glucohemoglobin measurement (C0202054)",Abnormal,High,Inclusion,Complete,,,,,,
1,"Lab Measures",2,,,,,,,,,,,,,,,,,,,"Plasma glucose result (C0455280)",Abnormal,High,Inclusion,Complete,,,,,,
1,"Lab Measures",3,,,,,,,,,,,,,,,,,,,"Aspartate aminotransferase measurement (C0201899)",Abnormal,High,Exclusion,Complete,,,,,,
1,"Lab Measures",4,,,,,,,,,,,,,,,,,,,"Serum Alanine Transaminase tests (C0036828)",Abnormal,High,Exclusion,Complete,,,,,,
1,"Lab Measures",5,,,,,,,,,,,,,,,,,,,"Estimated Glomerular Filtration Rate (C3811844)",Abnormal,Low,Exclusion,Complete,,,,,,
1,"Lab Measures",6,,,,,,,,,,,,,,,,,,,"Hematocrit procedure (C0018935)",Abnormal,Low,Exclusion,Complete,,,,,,
1,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
1,"Non-Coded Eligibility Criteria",2,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
1,"Non-Coded Eligibility Criteria",3,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
1,"Non-Coded Eligibility Criteria",4,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
1,"Non-Coded Eligibility Criteria",5,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
2,,,Yes,Incomplete,18,Unchecked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
2,Conditions,1,,,,,,,,,"Polycystic Ovary Syndrome (C0032460)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,2,,,,,,,,,"Amenorrhea (C0002453)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,3,,,,,,,,,"Hyperandrogenism (C0206081)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,4,,,,,,,,,"Diabetes Mellitus (C0011849)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,5,,,,,,,,,"Hypoglycemia (C0020615)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,6,,,,,,,,,"Cardiovascular Diseases (C0007222)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,7,,,,,,,,,"Cerebrovascular Disorders (C0007820)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,8,,,,,,,,,"Myocardial Infarction (C0027051)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,9,,,,,,,,,"Congestive heart failure (C0018802)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,10,,,,,,,,,"Ischemic stroke (C0948008)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,11,,,,,,,,,"Pulmonary Hypertension (C0020542)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,12,,,,,,,,,"Anemia (C0002871)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,13,,,,,,,,,"Blood Coagulation Disorders (C0005779)",,,Exclusion,Unverified,,,,,,,,,,,,,,,,
2,Conditions,14,,,,,,,,,"Current Smoker (C3241966)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,15,,,,,,,,,"Breastfeeding (mother) (C1623040)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,16,,,,,,,,,"hypertension chronic (C0745114)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Conditions,17,,,,,,,,,"Normal pregnancy (C0232989)",,,Exclusion,Unverified,,,,,,,,,,,,,,,,
2,Conditions,18,,,,,,,,,"Pancreatitis (C0030305)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
2,Medications,1,,,,,,,,,,,,,,"Contraceptives, Oral (C0009905)","Last Week",,Exclusion,Complete,,,,,,,,,,,
2,Medications,2,,,,,,,,,,,,,,"Metformin (C0025598)",,,Exclusion,Complete,,,,,,,,,,,
2,Medications,3,,,,,,,,,,,,,,"Thiazolidinediones (C1257987)",,,Exclusion,Complete,,,,,,,,,,,
2,Medications,4,,,,,,,,,,,,,,"Investigational New Drugs (C0013230)","Last Month",No,Exclusion,Complete,,,,,,,,,,,
2,Medications,5,,,,,,,,,,,,,,"sitagliptin (C1565750)",,Yes,Exclusion,Complete,,,,,,,,,,,
2,Medications,6,,,,,,,,,,,,,,"Naproxen (C0027396)",,,Exclusion,Complete,,,,,,,,,,,
2,Medications,7,,,,,,,,,,,,,,"Ibuprofen (C0020740)",,,Exclusion,Complete,,,,,,,,,,,
2,Medications,8,,,,,,,,,,,,,,"Aspirin (C0004057)",,,Exclusion,Complete,,,,,,,,,,,
2,Medications,9,,,,,,,,,,,,,,"Antidiabetics (C0935929)",,,Exclusion,Complete,,,,,,,,,,,
2,Medications,10,,,,,,,,,,,,,,"Antihypertensive Agents (C0003364)",,,Exclusion,Complete,,,,,,,,,,,
2,"Lab Measures",1,,,,,,,,,,,,,,,,,,,"Hematocrit procedure (C0018935)",Abnormal,Low,Exclusion,Complete,,,,,,
2,"Lab Measures",2,,,,,,,,,,,,,,,,,,,"Estimated Glomerular Filtration Rate (C3811844)",Abnormal,Low,Exclusion,Complete,,,,,,
2,"Lab Measures",3,,,,,,,,,,,,,,,,,,,"Aspartate aminotransferase measurement (C0201899)",Abnormal,High,Exclusion,Complete,,,,,,
2,"Lab Measures",4,,,,,,,,,,,,,,,,,,,"Serum Alanine Transaminase tests (C0036828)",Abnormal,High,Exclusion,Complete,,,,,,
2,"Lab Measures",5,,,,,,,,,,,,,,,,,,,"Thyroid Function Tests (C0040130)",Abnormal,,Exclusion,Complete,,,,,,
2,"Lab Measures",6,,,,,,,,,,,,,,,,,,,"Fasting blood glucose measurement (C0428568)",Abnormal,High,Exclusion,Complete,,,,,,
2,"Lab Measures",7,,,,,,,,,,,,,,,,,,,"Plasma glucose result (C0455280)",Abnormal,Low,Exclusion,Complete,,,,,,
2,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
2,"Non-Coded Eligibility Criteria",2,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
2,"Non-Coded Eligibility Criteria",3,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
2,"Non-Coded Eligibility Criteria",4,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
2,"Non-Coded Eligibility Criteria",5,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
2,"Non-Coded Eligibility Criteria",6,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
2,"Non-Coded Eligibility Criteria",7,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
3,,,Yes,Incomplete,,Checked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
3,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
4,,,Yes,Incomplete,21,Checked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
4,Conditions,1,,,,,,,,,"Myocardial Ischemia (C0151744)",Moderate,,Inclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,2,,,,,,,,,"Angina, Unstable (C0002965)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,3,,,,,,,,,"Acute Coronary Syndrome (C0948089)",,"Less than 6 month",Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,4,,,,,,,,,"Intracranial Hemorrhages (C0151699)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,5,,,,,,,,,"Ischemic stroke (C0948008)",,"Less than 6 month",Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,6,,,,,,,,,"Tachycardia, Ventricular (C0042514)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,7,,,,,,,,,"Hypertrophic Cardiomyopathy (C0007194)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,8,,,,,,,,,"Cardiomyopathy, Dilated (C0007193)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,9,,,,,,,,,"Renal dysfunction (C3279454)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,10,,,,,,,,,"Valvular disease (C3258293)",Severe,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,11,,,,,,,,,"Normal pregnancy (C0232989)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,12,,,,,,,,,"Canadian Cardiovascular Society Grading Scale Class III (C2698969)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,13,,,,,,,,,"Bleeding risk (C3251812)",Severe,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,14,,,,,,,,,"Canadian Cardiovascular Society Grading Scale Class IV (C2698970)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,15,,,,,,,,,"New York Heart Association Class III (C1882086)",,"Less than 6 month",Exclusion,Complete,,,,,,,,,,,,,,,,
4,Conditions,16,,,,,,,,,"New York Heart Association class III/IV (C0278962)",,"Less than 6 month",Exclusion,Complete,,,,,,,,,,,,,,,,
4,"Lab Measures",1,,,,,,,,,,,,,,,,,,,"Ventricular Ejection Fraction (C0042508)",Abnormal,Low,Exclusion,Complete,,,,,,
4,"Lab Measures",2,,,,,,,,,,,,,,,,,,,"Estimated Glomerular Filtration Rate (C3811844)",Abnormal,Low,Exclusion,Complete,,,,,,
4,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",2,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",3,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",4,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",5,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",6,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",7,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",8,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",9,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",10,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",11,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",12,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",13,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",14,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",15,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",16,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
4,"Non-Coded Eligibility Criteria",17,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
5,,,Yes,Incomplete,3,Checked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
5,Conditions,1,,,,,,,,,"Asperger Syndrome (C0236792)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
5,Conditions,2,,,,,,,,,"AUTISM SPECTRUM DISORDER (C1510586)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
5,Conditions,3,,,,,,,,,"Autistic Disorder (C0004352)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
5,Conditions,4,,,,,,,,,"Deafness (C0011053)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
5,Conditions,5,,,,,,,,,"Blind Vision (C0456909)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
5,Conditions,6,,,,,,,,,"Lactating (finding) (C2828358)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
5,Conditions,7,,,,,,,,,"Patient currently pregnant (C0549206)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
5,Conditions,8,,,,,,,,,"seizure activity (C1148454)",,"Less than 6 month",Exclusion,Complete,,,,,,,,,,,,,,,,
5,Medications,1,,,,,,,,,,,,,,"Oxytocin (C0030095)",,,Exclusion,Complete,,,,,,,,,,,
5,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
5,"Non-Coded Eligibility Criteria",2,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
5,"Non-Coded Eligibility Criteria",3,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
5,"Non-Coded Eligibility Criteria",4,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
5,"Non-Coded Eligibility Criteria",5,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
5,"Non-Coded Eligibility Criteria",6,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
5,"Non-Coded Eligibility Criteria",7,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
5,"Non-Coded Eligibility Criteria",8,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
5,"Non-Coded Eligibility Criteria",9,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
6,,,Yes,Incomplete,18,Checked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
6,Conditions,1,,,,,,,,,"History of - blood transfusion (C0281867)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
6,Conditions,2,,,,,,,,,"Diabetes Mellitus (C0011849)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
6,Conditions,3,,,,,,,,,"Patient currently pregnant (C0549206)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
6,Conditions,4,,,,,,,,,"traumatic brain injury (C0876926)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
6,Conditions,5,,,,,,,,,"Intracranial Hypertension (C0151740)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
6,Conditions,6,,,,,,,,,"malignant disease (C0442867)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
6,Conditions,7,,,,,,,,,"Seizures (C0036572)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
6,Conditions,8,,,,,,,,,"chronic liver disease (C0341439)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
6,Conditions,9,,,,,,,,,"hiv-infection/aids (C0497169)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
6,Medications,1,,,,,,,,,,,,,,"Investigational New Drugs (C0013230)",,,Exclusion,Complete,,,,,,,,,,,
6,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
6,"Non-Coded Eligibility Criteria",2,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
6,"Non-Coded Eligibility Criteria",3,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
6,"Non-Coded Eligibility Criteria",4,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
6,"Non-Coded Eligibility Criteria",5,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
6,"Non-Coded Eligibility Criteria",6,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
6,"Non-Coded Eligibility Criteria",7,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
6,"Non-Coded Eligibility Criteria",8,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
7,,,Yes,Complete,40,Checked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
7,Conditions,1,,,,,,,,,"Diabetes Mellitus, Non-Insulin-Dependent (C0011860)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
7,Conditions,2,,,,,,,,,"Cardiovascular Diseases (C0007222)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
7,Conditions,3,,,,,,,,,"Renal dysfunction (C3279454)",Severe,,Exclusion,Complete,,,,,,,,,,,,,,,,
7,Conditions,4,,,,,,,,,"Gastroparesis (C0152020)",Severe,,Exclusion,Complete,,,,,,,,,,,,,,,,
7,Conditions,5,,,,,,,,,"Pancreatitis (C0030305)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
7,Conditions,6,,,,,,,,,"Patient currently pregnant (C0549206)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
7,Conditions,7,,,,,,,,,"Breastfeeding (mother) (C1623040)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
7,Medications,1,,,,,,,,,,,,,,"Investigational New Drugs (C0013230)","Last Month",,Exclusion,Complete,,,,,,,,,,,
7,Medications,2,,,,,,,,,,,,,,"GLP-1 Receptor Agonist (C2917359)","Last Week",,Exclusion,Complete,,,,,,,,,,,
7,Medications,3,,,,,,,,,,,,,,"GLP-1 Receptor Agonist (C2917359)","Not Taking",Yes,Exclusion,Complete,,,,,,,,,,,
7,"Lab Measures",1,,,,,,,,,,,,,,,,,,,"Glucohemoglobin measurement (C0202054)",Abnormal,High,Inclusion,Complete,,,,,,
7,"Lab Measures",2,,,,,,,,,,,,,,,,,,,"Estimated Glomerular Filtration Rate (C3811844)",Abnormal,Low,Exclusion,Complete,,,,,,
7,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
7,"Non-Coded Eligibility Criteria",2,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
7,"Non-Coded Eligibility Criteria",3,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
7,"Non-Coded Eligibility Criteria",4,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
8,,,Yes,Complete,18,Checked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
8,Conditions,1,,,,,,,,,"Diabetes Mellitus, Insulin-Dependent (C0011854)",,"Less than 1 year",Inclusion,Complete,,,,,,,,,,,,,,,,
8,Conditions,2,,,,,,,,,"Diabetes Mellitus, Non-Insulin-Dependent (C0011860)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
8,Conditions,3,,,,,,,,,"Pancreatitis (C0030305)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
8,Conditions,4,,,,,,,,,"Hypoglycemia (C0020615)",Severe,"Less than 6 month",Exclusion,Complete,,,,,,,,,,,,,,,,
8,Conditions,5,,,,,,,,,"Diabetic Ketoacidosis (C0011880)",,"Less than 6 month",Exclusion,Complete,,,,,,,,,,,,,,,,
8,Medications,1,,,,,,,,,,,,,,"Insulin (C0021641)",,,Inclusion,Complete,,,,,,,,,,,
8,Medications,2,,,,,,,,,,,,,,"Metformin (C0025598)","Last 3 Months",,Exclusion,Complete,,,,,,,,,,,
8,Medications,3,,,,,,,,,,,,,,"alpha-Glucosidase Inhibitors (C1299007)","Last 3 Months",,Exclusion,Complete,,,,,,,,,,,
8,Medications,4,,,,,,,,,,,,,,"Pramlintide (C0537551)","Last 3 Months",,Exclusion,Complete,,,,,,,,,,,
8,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
8,"Non-Coded Eligibility Criteria",2,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
8,"Non-Coded Eligibility Criteria",3,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
8,"Non-Coded Eligibility Criteria",4,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
8,"Non-Coded Eligibility Criteria",5,,,,,,,,,,,,,,,,,,,,,,,,Exclusion,Complete,,,,
9,,,Yes,Complete,18,Checked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
9,Conditions,1,,,,,,,,,"Diabetes Mellitus, Insulin-Dependent (C0011854)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
9,Conditions,2,,,,,,,,,"Diabetes Mellitus, Non-Insulin-Dependent (C0011860)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
9,Conditions,3,,,,,,,,,"Pancreatitis (C0030305)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
9,Conditions,4,,,,,,,,,"Diabetic Ketoacidosis (C0011880)",,"Less than 1 month",Exclusion,Complete,,,,,,,,,,,,,,,,
9,Conditions,5,,,,,,,,,"Hyperglycemia (C0020456)",,"Less than 1 month",Exclusion,Complete,,,,,,,,,,,,,,,,
9,Conditions,6,,,,,,,,,"Hypoglycemia (C0020615)",,"Less than 1 month",Exclusion,Complete,,,,,,,,,,,,,,,,
9,Conditions,7,,,,,,,,,"Addison Disease (C0001403)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
9,Medications,1,,,,,,,,,,,,,,"Insulin (C0021641)","Last 1 Year",,Inclusion,Complete,,,,,,,,,,,
9,Medications,2,,,,,,,,,,,,,,"GLP-1 Receptor Agonist (C2917359)","Last 3 Months",,Exclusion,Complete,,,,,,,,,,,
9,Medications,3,,,,,,,,,,,,,,"Metformin (C0025598)","Last 3 Months",,Exclusion,Complete,,,,,,,,,,,
9,Medications,4,,,,,,,,,,,,,,"Thiazolidinediones (C1257987)","Last 3 Months",,Exclusion,Complete,,,,,,,,,,,
9,Medications,5,,,,,,,,,,,,,,"Glucagon (C0017687)","Last Month",,Exclusion,Complete,,,,,,,,,,,
9,"Non-Coded Eligibility Criteria",1,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
9,"Non-Coded Eligibility Criteria",2,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
9,"Non-Coded Eligibility Criteria",3,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
9,"Non-Coded Eligibility Criteria",4,,,,,,,,,,,,,,,,,,,,,,,,Inclusion,Complete,,,,
